id;fase;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
1;1;Qual parte da planta transporta a seiva bruta?;Folhas;Raiz;Caule;Flores;2;O caule é responsável por transportar a seiva bruta das raízes até as folhas, permitindo a realização da fotossíntese.
2;1;Além de fixar a árvore no solo, a raiz também serve para:;Produzir frutos;Armazenar nutrientes;Formar folhas;Aumentar a fotossíntese;1;As raízes armazenam reservas de nutrientes em várias plantas, como na mandioca e na cenoura.
3;1;Durante a fotossíntese, o gás liberado pelas plantas é:;Gás carbônico;Oxigênio;Metano;Nitrogênio;1;As plantas absorvem gás carbônico e liberam oxigênio durante a fotossíntese, essencial para a respiração dos seres vivos.
4;1;Por que as árvores perdem suas folhas em certas épocas do ano?;Para economizar água e energia;Para produzir frutos;Para aumentar a fotossíntese;Para atrair animais;0;A queda das folhas ajuda a planta a sobreviver em períodos de frio ou seca, economizando água e energia.
5;1;Qual parte da planta realiza a fotossíntese?;Raiz;Folha;Tronco;Fruto;1;As folhas são responsáveis pela fotossíntese, pois contêm clorofila.
6;2;Qual porcentagem aproximada da água da Terra é doce?;3%;15%;30%;50%;0;Apenas cerca de 3% da água do planeta é doce, e boa parte está em geleiras ou no subsolo.
7;2;O que acontece quando o vapor de água se resfria na atmosfera?;Evapora ainda mais;Forma nuvens;Transforma-se em plasma;Desaparece;1;O vapor se condensa em pequenas gotículas, que juntas formam as nuvens.
8;2;Qual é o processo que transforma água líquida em vapor?;Congelamento;Evaporação;Condensação;Sublimação;1;Na evaporação, a água líquida recebe calor e passa para o estado gasoso.
9;2;Qual oceano é o maior do mundo?;Atlântico;Índico;Pacífico;Ártico;2;O Oceano Pacífico é o maior do mundo, cobrindo cerca de um terço da superfície da Terra.
10;2;Durante a germinação, qual parte da planta surge primeiro?;Folhas;Raiz;Flor;Fruto;1;A raiz é a primeira a surgir, fixando a planta no solo e absorvendo água.
11;3;No sistema de coleta seletiva, a cor azul é usada para:;Vidro;Metal;Papel;Plástico;2;A lixeira azul é destinada ao papel e papelão, facilitando a reciclagem.
12;3;A lixeira vermelha serve para descartar:;Metal;Vidro;Plástico;Restos de comida;2;A cor vermelha indica o descarte de plásticos, como garrafas PET e embalagens.
13;3;A lixeira verde é destinada a:;Vidro;Papel;Metal;Orgânico;0;A lixeira verde é usada para vidro, como garrafas, potes e copos.
14;3;Qual é a melhor forma de reduzir a quantidade de lixo produzida?;Reutilizar;Queimar;Enterrar;Jogar fora;0;Reutilizar materiais prolonga sua vida útil e diminui a geração de resíduos.
15;3;O fruto se forma a partir de qual parte da flor?;Sépala;Ovário;Pétala;Estame;1;Após a fecundação, o ovário da flor se desenvolve e forma o fruto.
